regrown n=52 seed 0 in 4368 s: V 156172 E 784803 | matches the run: True
  the run fitted d_s = 1.6849117343575584 over radii 3.0-5.0; diameter 25.0
         t     radius       d_s
         4       1.42     2.351
         7       1.79     2.111
        10       2.06     1.826
        15       2.41     1.527
        22       2.80     1.484
        33       3.26     1.540
        49       3.77     1.654
        73       4.33     1.815
       110       4.96     2.025
       164       5.60     2.297
       244       6.26     2.640
       365       6.90     3.077
       544       7.46     3.650
       812       7.92     4.345
      1212       8.22     4.942
      1809       8.37     4.890
      2701       8.43     3.874
      4031       8.45     2.317
      6016       8.45     0.905
      8979       8.45     0.169
