[  7.8 min] growth: ticks 72000, loci 577, relations 2207, mean degree 7.65, births 574 (failed 6626), pulls accepted 1630, rewires accepted 596, exact LPs 45741, curvature 742 s (158% of wall)
[  8.0 min] growth: ticks 74000, loci 594, relations 2293, mean degree 7.72, births 591 (failed 6809), pulls accepted 1699, rewires accepted 610, exact LPs 47095, curvature 759 s (158% of wall)
[  8.2 min] growth: ticks 76000, loci 612, relations 2386, mean degree 7.80, births 609 (failed 6991), pulls accepted 1774, rewires accepted 619, exact LPs 48126, curvature 772 s (158% of wall)
[  8.3 min] growth: ticks 78000, loci 632, relations 2472, mean degree 7.82, births 629 (failed 7171), pulls accepted 1840, rewires accepted 638, exact LPs 49483, curvature 789 s (158% of wall)
[  8.5 min] growth: ticks 80000, loci 648, relations 2553, mean degree 7.88, births 645 (failed 7355), pulls accepted 1905, rewires accepted 657, exact LPs 50838, curvature 806 s (158% of wall)
[  8.7 min] growth: ticks 82000, loci 672, relations 2663, mean degree 7.93, births 669 (failed 7531), pulls accepted 1991, rewires accepted 675, exact LPs 51834, curvature 819 s (158% of wall)
[  8.8 min] growth: ticks 84000, loci 689, relations 2708, mean degree 7.86, births 686 (failed 7714), pulls accepted 2019, rewires accepted 694, exact LPs 52774, curvature 834 s (157% of wall)
[  9.0 min] growth: ticks 86000, loci 712, relations 2789, mean degree 7.83, births 709 (failed 7891), pulls accepted 2077, rewires accepted 712, exact LPs 53752, curvature 850 s (157% of wall)
[  9.2 min] growth: ticks 88000, loci 731, relations 2859, mean degree 7.82, births 728 (failed 8072), pulls accepted 2128, rewires accepted 719, exact LPs 55012, curvature 871 s (157% of wall)
[  9.4 min] growth: ticks 90000, loci 740, relations 2876, mean degree 7.77, births 737 (failed 8263), pulls accepted 2136, rewires accepted 725, exact LPs 55917, curvature 885 s (157% of wall)
[  9.6 min] growth: ticks 92000, loci 750, relations 2903, mean degree 7.74, births 747 (failed 8453), pulls accepted 2153, rewires accepted 729, exact LPs 57308, curvature 907 s (157% of wall)
[  9.9 min] growth: ticks 94000, loci 761, relations 2928, mean degree 7.70, births 758 (failed 8642), pulls accepted 2167, rewires accepted 736, exact LPs 58809, curvature 930 s (157% of wall)
[ 10.1 min] growth: ticks 96000, loci 770, relations 2945, mean degree 7.65, births 767 (failed 8833), pulls accepted 2175, rewires accepted 743, exact LPs 60220, curvature 952 s (157% of wall)
[ 10.3 min] growth: ticks 98000, loci 780, relations 2970, mean degree 7.62, births 777 (failed 9023), pulls accepted 2190, rewires accepted 750, exact LPs 61651, curvature 972 s (157% of wall)
[ 10.5 min] growth: ticks 100000, loci 789, relations 3004, mean degree 7.61, births 786 (failed 9214), pulls accepted 2215, rewires accepted 758, exact LPs 63036, curvature 989 s (157% of wall)
[ 10.7 min] growth: ticks 102000, loci 802, relations 3063, mean degree 7.64, births 799 (failed 9401), pulls accepted 2261, rewires accepted 764, exact LPs 64493, curvature 1006 s (157% of wall)
[ 10.9 min] growth: ticks 104000, loci 808, relations 3081, mean degree 7.63, births 805 (failed 9595), pulls accepted 2273, rewires accepted 773, exact LPs 65998, curvature 1024 s (157% of wall)
[ 11.1 min] growth: ticks 106000, loci 817, relations 3106, mean degree 7.60, births 814 (failed 9786), pulls accepted 2289, rewires accepted 779, exact LPs 67669, curvature 1044 s (157% of wall)
[ 11.3 min] growth: ticks 108000, loci 829, relations 3125, mean degree 7.54, births 826 (failed 9974), pulls accepted 2296, rewires accepted 788, exact LPs 69205, curvature 1062 s (157% of wall)
[ 11.4 min] growth: ticks 110000, loci 835, relations 3140, mean degree 7.52, births 832 (failed 10168), pulls accepted 2305, rewires accepted 794, exact LPs 70647, curvature 1079 s (157% of wall)
[ 11.6 min] growth: ticks 112000, loci 842, relations 3155, mean degree 7.49, births 839 (failed 10361), pulls accepted 2313, rewires accepted 800, exact LPs 72280, curvature 1098 s (157% of wall)
[ 11.8 min] growth: ticks 114000, loci 851, relations 3194, mean degree 7.51, births 848 (failed 10552), pulls accepted 2343, rewires accepted 806, exact LPs 73829, curvature 1116 s (157% of wall)
[ 12.0 min] growth: ticks 116000, loci 862, relations 3233, mean degree 7.50, births 859 (failed 10741), pulls accepted 2371, rewires accepted 817, exact LPs 75355, curvature 1135 s (157% of wall)
[ 12.2 min] growth: ticks 118000, loci 873, relations 3262, mean degree 7.47, births 870 (failed 10930), pulls accepted 2389, rewires accepted 824, exact LPs 76962, curvature 1154 s (157% of wall)
