2026-09-15 18:34:21 start: 456 jobs, largest 16000
11:05:32 strong-sync done 10/54 (0.70 h): control_K30_c2_k16_kapnone_N4000_s1.json
11:10:27 strong-sync done 11/54 (0.78 h): control_K30_c2_k16_kapnone_N4000_s2.json
11:15:00 strong-sync done 12/54 (0.85 h): constrained_K30_c2_k16_kap-0.2_N4000_s0.json
11:16:21 strong-sync done 13/54 (0.88 h): constrained_K30_c0.5_k12_kap-0.2_N4000_s0.json
11:17:53 strong-sync done 14/54 (0.90 h): control_K30_c1_k16_kapnone_N4000_s2.json
11:21:15 strong-sync done 15/54 (0.96 h): constrained_K30_c2_k16_kap-0.2_N4000_s1.json
11:21:26 strong-sync done 16/54 (0.96 h): constrained_K30_c2_k16_kap-0.2_N4000_s2.json
11:29:35 strong-sync done 17/54 (1.10 h): constrained_K30_c0.5_k12_kap-0.2_N4000_s2.json
11:35:02 strong-sync done 18/54 (1.19 h): control_K30_c0.5_k12_kapnone_N4000_s0.json
11:36:56 strong-sync done 19/54 (1.22 h): constrained_K30_c0.5_k12_kap-0.2_N4000_s1.json
11:38:43 strong-sync done 20/54 (1.25 h): control_K30_c0.5_k12_kapnone_N4000_s1.json
11:38:45 strong-sync done 21/54 (1.25 h): constrained_K30_c0.5_k16_kap-0.2_N4000_s2.json
11:41:44 strong-sync done 22/54 (1.30 h): control_K30_c0.5_k12_kapnone_N4000_s2.json
11:49:20 strong-sync done 23/54 (1.43 h): control_K30_c1_k12_kapnone_N4000_s0.json
11:52:45 strong-sync done 24/54 (1.48 h): control_K30_c1_k12_kapnone_N4000_s1.json
11:55:17 strong-sync done 25/54 (1.52 h): control_K30_c1_k12_kapnone_N4000_s2.json
11:56:00 strong-sync done 26/54 (1.54 h): constrained_K30_c1_k12_kap-0.2_N4000_s2.json
11:57:27 strong-sync done 27/54 (1.56 h): control_K30_c2_k12_kapnone_N4000_s0.json
11:58:50 strong-sync done 28/54 (1.58 h): constrained_K30_c1_k16_kap-0.2_N4000_s1.json
11:59:02 strong-sync done 29/54 (1.59 h): constrained_K30_c0.5_k16_kap-0.2_N4000_s1.json
12:00:30 strong-sync done 30/54 (1.61 h): control_K30_c2_k12_kapnone_N4000_s1.json
