grid3D rho 4 seed 1 | reading 2.902 at 4727 -> 3.237 at 9073 (a real one reads 2.67) | drift 0.335 | gap 0.323 -> 0.567 (grows by 0.244) | in one piece 0.824 | relations/event 4.44 | 1s
grid3D rho 4 seed 2 | reading 2.906 at 4746 -> 3.363 at 9190 (a real one reads 2.67) | drift 0.457 | gap 0.327 -> 0.693 (grows by 0.366) | in one piece 0.824 | relations/event 4.44 | 1s
grid3D rho 4 seed 3 | reading 2.912 at 4744 -> 3.283 at 9273 (a real one reads 2.67) | drift 0.371 | gap 0.333 -> 0.613 (grows by 0.28) | in one piece 0.827 | relations/event 4.44 | 1s
grid3D rho 5 seed 1 | reading 2.917 at 4727 -> 3.21 at 9146 (a real one reads 2.691) | drift 0.293 | gap 0.338 -> 0.519 (grows by 0.181) | in one piece 0.99 | relations/event 5.03 | 2s
grid3D rho 5 seed 2 | reading 2.96 at 4697 -> 3.175 at 9184 (a real one reads 2.691) | drift 0.215 | gap 0.381 -> 0.484 (grows by 0.103) | in one piece 0.987 | relations/event 5.04 | 2s
grid3D rho 5 seed 3 | reading 2.905 at 4441 -> 3.311 at 9432 (a real one reads 2.691) | drift 0.406 | gap 0.326 -> 0.62 (grows by 0.294) | in one piece 0.986 | relations/event 5.05 | 2s
grid3D rho 6 seed 1 | reading 2.897 at 4765 -> 3.251 at 9288 (a real one reads 2.691) | drift 0.354 | gap 0.318 -> 0.56 (grows by 0.242) | in one piece 1.0 | relations/event 6.00 | 2s
grid3D rho 6 seed 2 | reading 2.915 at 4805 -> 3.247 at 9224 (a real one reads 2.691) | drift 0.332 | gap 0.336 -> 0.556 (grows by 0.22) | in one piece 1.0 | relations/event 6.00 | 2s
grid3D rho 6 seed 3 | reading 2.888 at 4426 -> 3.169 at 9329 (a real one reads 2.691) | drift 0.281 | gap 0.309 -> 0.478 (grows by 0.169) | in one piece 1.0 | relations/event 6.00 | 2s
grid3D rho 8 seed 1 | reading 2.717 at 4723 -> 3.005 at 9175 (a real one reads 2.691) | drift 0.288 | gap 0.138 -> 0.314 (grows by 0.176) | in one piece 1.0 | relations/event 8.00 | 2s
grid3D rho 8 seed 2 | reading 2.721 at 4775 -> 3.015 at 9397 (a real one reads 2.691) | drift 0.294 | gap 0.142 -> 0.324 (grows by 0.182) | in one piece 1.0 | relations/event 8.00 | 2s
grid3D rho 8 seed 3 | reading 2.684 at 4742 -> 3.089 at 9210 (a real one reads 2.691) | drift 0.405 | gap 0.105 -> 0.398 (grows by 0.293) | in one piece 1.0 | relations/event 8.00 | 2s
grid3D rho 12 seed 1 | reading 2.389 at 4711 -> 2.712 at 9228 (a real one reads 2.691) | drift 0.323 | gap -0.19 -> 0.021 (grows by 0.211) | in one piece 1.0 | relations/event 12.00 | 3s
grid3D rho 12 seed 2 | reading 2.387 at 4858 -> 2.747 at 9554 (a real one reads 2.691) | drift 0.36 | gap -0.192 -> 0.056 (grows by 0.248) | in one piece 1.0 | relations/event 12.00 | 3s
grid3D rho 12 seed 3 | reading 2.391 at 4770 -> 2.698 at 9269 (a real one reads 2.691) | drift 0.307 | gap -0.188 -> 0.007 (grows by 0.195) | in one piece 1.0 | relations/event 12.00 | 3s
grid3D rho 16 seed 1 | reading 2.348 at 4711 -> 2.499 at 9280 (a real one reads 2.691) | drift 0.151 | gap -0.231 -> -0.192 (grows by 0.039) | in one piece 1.0 | relations/event 16.00 | 4s
grid3D rho 16 seed 2 | reading 2.341 at 4858 -> 2.498 at 9424 (a real one reads 2.691) | drift 0.157 | gap -0.238 -> -0.193 (grows by 0.045) | in one piece 1.0 | relations/event 16.00 | 4s
grid3D rho 16 seed 3 | reading 2.366 at 4770 -> 2.589 at 9371 (a real one reads 2.691) | drift 0.223 | gap -0.213 -> -0.102 (grows by 0.111) | in one piece 1.0 | relations/event 16.00 | 4s
ring   rho 2 seed 1 | 0.995 -> 1.016 (a real one reads 0.998) | drift 0.021 | md 1044.9 | small world False | in one piece 1.0 | relations/event 2.00
ring   rho 2 seed 2 | 1.004 -> 0.999 (a real one reads 0.998) | drift -0.005 | md 1055.8 | small world False | in one piece 1.0 | relations/event 2.00
ring   rho 2 seed 3 | 1.004 -> 1.017 (a real one reads 0.998) | drift 0.013 | md 1065.1 | small world False | in one piece 1.0 | relations/event 2.00
ring   rho 3 seed 1 | 0.991 -> 0.99 (a real one reads 0.998) | drift -0.001 | md 671.6 | small world False | in one piece 1.0 | relations/event 3.00
ring   rho 3 seed 2 | 0.986 -> 1.0 (a real one reads 0.998) | drift 0.014 | md 676.6 | small world False | in one piece 1.0 | relations/event 3.00
ring   rho 3 seed 3 | 1.008 -> 1.007 (a real one reads 0.998) | drift -0.001 | md 673.0 | small world False | in one piece 1.0 | relations/event 3.00
ring   rho 4 seed 1 | 0.983 -> 0.994 (a real one reads 0.998) | drift 0.011 | md 569.7 | small world False | in one piece 1.0 | relations/event 4.00
ring   rho 4 seed 2 | 1.006 -> 1.01 (a real one reads 0.998) | drift 0.004 | md 559.3 | small world False | in one piece 1.0 | relations/event 4.00
ring   rho 4 seed 3 | 1.003 -> 1.017 (a real one reads 0.998) | drift 0.014 | md 564.9 | small world False | in one piece 1.0 | relations/event 4.00
ring   rho 5 seed 1 | 0.98 -> 0.986 (a real one reads 0.998) | drift 0.006 | md 524.8 | small world False | in one piece 1.0 | relations/event 5.00
ring   rho 5 seed 2 | 0.996 -> 1.002 (a real one reads 0.998) | drift 0.006 | md 522.4 | small world False | in one piece 1.0 | relations/event 5.00
ring   rho 5 seed 3 | 1.003 -> 0.994 (a real one reads 0.998) | drift -0.009 | md 521.0 | small world False | in one piece 1.0 | relations/event 5.00
ring   rho 6 seed 1 | 0.976 -> 0.976 (a real one reads 0.998) | drift 0.0 | md 512.5 | small world False | in one piece 1.0 | relations/event 6.00
ring   rho 6 seed 2 | 0.995 -> 1.004 (a real one reads 0.998) | drift 0.009 | md 509.6 | small world False | in one piece 1.0 | relations/event 6.00
ring   rho 6 seed 3 | 1.002 -> 0.994 (a real one reads 0.998) | drift -0.008 | md 513.6 | small world False | in one piece 1.0 | relations/event 6.00
ring   rho 8 seed 1 | 0.976 -> 1.004 (a real one reads 0.998) | drift 0.028 | md 502.1 | small world False | in one piece 1.0 | relations/event 8.00
ring   rho 8 seed 2 | 0.995 -> 0.989 (a real one reads 0.998) | drift -0.006 | md 500.7 | small world False | in one piece 1.0 | relations/event 8.00
ring   rho 8 seed 3 | 1.002 -> 0.982 (a real one reads 0.998) | drift -0.02 | md 503.6 | small world False | in one piece 1.0 | relations/event 8.00
